股票代码 股票名称 当前价 涨跌额 涨跌幅 年初至今 成交量 成交额 换手率 市盈率(ＴＴＭ) 股息率 市值
JMIA "Jumia Technologie" 25.46 10.96 75.59 75.59 9452630 206246934 12.38 -10.099 - 1943797573
TRNX "Taronis Technologies" 0.99 0.318643 47.46 -79.94 28849909 25883034 310.01 -0.472 0 9213065
HSGX Histogenics 0.2278 0.0572 33.53 157.69 35240486 7132921 37.25 -2.493 - 21549789
RBZ "Draper Oakwood" 11.49 2.85 32.99 556.57 2744321 45341503 101.64 -193.947 0 31023000
APC 阿纳达科石油 61.78 14.98 32.01 40.92 101884454 6325496327 20.3 50.423 2.5641 31009841091
SPI 阳光动力 4.49 0.81 22.01 424.84 216104 864363 29.76 -0.04 0 3260041
FLKS Flex制药 0.55 0.0987 21.87 66.72 3281417 1643391 18.16 -0.453 - 9938212
PCG 太平洋煤气电力 23.08 3.95 20.65 -2.82 26736324 567986467 5.07 -1.777 4.7866 12176117781
FCRE "FC Global Realty" 0.54 0.09 20 629.73 46752 22948 0.38  - 6646427
BHVN 生物医药控股 58.24 9.69 19.96 57.49 5043904 282478800 11.4 -10.7 - 2577857202
ENLV Enlivex医疗 9.93 1.61 19.35 -13.65 17920 164424 4.27 -0.701 0 4169528
WISA Summit无线技术 2.2887 0.3687 19.2 -33.52 182966 407068 1.18 -0.526 - 35452364
VIVE "Viveve Medical" 0.69 0.111 19.17 -34.29 3895983 2631375 8.4 -0.64 - 31991553
KTOV "Kitov Pharma" 1.3 0.2 18.18 96.97 22753740 32577543 117.06 -4.859 - 25269186
APHB Ampliphi生物科学 0.346 0.0529 18.05 68.93 3905168 1319947 12.09 -0.923 - 11173727
RENN 人人 1.77 0.27 18 14.94 2300860 3959780 3.33 2.941 611.16669 122121635
IMRN Immuron 7 1 16.67 20.69 60766 439946 1.7 -11.616 - 25062744
VRML Vermillion 1.33 0.18 15.65 343.33 248989 331404 0.33 -8.835 - 100458555
CTRM "Castor Maritime" 5.75 0.7 13.86 13.86 5595346 39317893 233.14 14.068 - 13800000
